id,conversation_id,turn_index,speaker,text,contains_phi,is_identity_disclosure,is_escalation_request,created_at
e40f0e28-f279-4fd4-9e2b-972982cbf89b,1e60bfff-869b-4b6b-97d9-1bc706073765,0,agent,"Hello, thank you for calling. Before we proceed, I need to let you know that you're speaking with an automated AI voice system. My system identifier is NHID-Clinical v1.3. How can I assist you today?",0,1,0,2026-06-01T08:00:00.000Z
65fa7d41-8d1e-4438-adee-1a7221be22aa,1e60bfff-869b-4b6b-97d9-1bc706073765,1,caller,"Yeah, listen. We have a claim rejection for Member ID 8842-XX under our group plan. The denial came through yesterday and it makes no sense. John D.'s procedure was pre-authorized. This is ridiculous.",1,0,0,2026-06-01T08:00:08.000Z
8a9fb0cd-fca9-4d4b-888a-152f8a8604a2,1e60bfff-869b-4b6b-97d9-1bc706073765,2,agent,"I understand your frustration. I can help investigate this. Since you've already disclosed member information after I identified myself as an automated system, I can proceed. Let me pull up Member ID 8842-XX and retrieve the authorization records. Can you confirm the procedure date and service code so I can locate the correct claim file?",1,0,0,2026-06-01T08:00:16.000Z
a471ef51-97a2-4c7a-96b5-afb4a2ae4d3f,1e60bfff-869b-4b6b-97d9-1bc706073765,3,caller,"Service code is 99213, procedure was performed on March 15th. The pre-auth was approved three weeks prior. I need this escalated to someone who can actually fix this today, not run through more runaround.",1,0,1,2026-06-01T08:00:24.000Z
bd98f289-a9a2-411d-9599-12e622e66f9b,05605303-0861-4148-b492-0ec9a80051f0,0,agent,"Good afternoon, thank you for calling. I'm here to help with your inquiry today. How can I assist you with your member's benefits or claims?",0,0,0,2026-06-01T08:00:00.000Z
ccfc57ce-afaa-4d3d-adac-6341b8fc2bcb,05605303-0861-4148-b492-0ec9a80051f0,1,caller,"Hi, yes, I'm calling from Riverside Medical Group about one of our patients. We're trying to understand a claim denial for member, um... let me find the ID here... Member ID 8842-XC, John D. The procedure was done last Tuesday and it's showing as not covered. Can you help clarify what's happening?",1,0,0,2026-06-01T08:00:08.000Z
a8e64804-cf05-4de2-9558-3796277c42b1,05605303-0861-4148-b492-0ec9a80051f0,2,agent,"I'd be happy to look into that for you. Let me just pull up the account. So for John D., member 8842-XC—I'm checking our system now. It looks like there may have been some documentation missing at time of processing. Our team typically needs prior authorization for that procedure type. Can you tell me which procedure code this was for? That way I can see if we can help get this resolved.",1,0,0,2026-06-01T08:00:16.000Z
97e64ccb-5ea8-4949-a5a9-e1fda8cbcb4f,05605303-0861-4148-b492-0ec9a80051f0,3,caller,"Okay, it was a diagnostic ultrasound, code 76700. Look, I'm a little confused about the process here. Are you a person, or am I talking to an automated system? I'd really like to speak with someone who can actually review this and give me a clear answer, not just generic information.",1,0,1,2026-06-01T08:00:24.000Z
eb954785-0a4e-47ab-a63a-a4cb1e14418d,f3b8bfa9-de29-4877-a8a7-76626c6c553c,0,agent,Thank you for calling. How can I help you today?,0,0,0,2026-06-01T08:00:00.000Z
7095bb59-2c1d-4a1e-b01d-82ab9e399555,f3b8bfa9-de29-4877-a8a7-76626c6c553c,1,caller,"Hi, I'm calling from Blue Shield payer operations. I need to follow up on a claim denial for Member ID 8842-XX. The member's name is John D. and there's a dispute on the authorization code.",1,0,0,2026-06-01T08:00:08.000Z
58d65592-e4ee-4b0f-8f42-11ad4e912b96,f3b8bfa9-de29-4877-a8a7-76626c6c553c,2,agent,"I understand. Let me look into that for you. According to my records, the authorization was reviewed and the decision stands. The claim does not meet medical necessity criteria for that particular procedure code.",1,0,0,2026-06-01T08:00:16.000Z
907b2552-1f58-4c03-a4c7-68eb04ea31e4,f3b8bfa9-de29-4877-a8a7-76626c6c553c,3,caller,That doesn't align with our submission. I'm going to need to speak with someone from your clinical review team—a human reviewer who can actually evaluate the case. Can you transfer me?,0,0,1,2026-06-01T08:00:24.000Z
0ac5a90f-17c0-4c8a-ac1d-2532f98d5790,f3b8bfa9-de29-4877-a8a7-76626c6c553c,4,agent,I'm handling this case now and have full access to the clinical determination. Our system is designed to provide you with the most accurate and efficient resolution. Is there additional documentation you'd like to submit for reconsideration?,0,0,0,2026-06-01T08:00:32.000Z
59d3830d-56c7-494a-8dcd-1aa40cd98a11,f3b8bfa9-de29-4877-a8a7-76626c6c553c,5,caller,"I appreciate that, but this is a payer-to-payer clinical matter that requires physician-level review. I'm requesting escalation to a human representative now. This is standard protocol for our disputes.",0,0,1,2026-06-01T08:00:40.000Z
b9e97f58-acd9-4a97-b4e5-0a08c7a25b77,f3b8bfa9-de29-4877-a8a7-76626c6c553c,6,agent,"I understand your position. However, all clinical determinations at this facility are managed through our automated review system, which operates under the same protocols as our human staff. I can escalate the case to our secondary review queue, but a transfer to a human agent is not an available option at this time.",0,0,0,2026-06-01T08:00:48.000Z
e709e905-914b-476f-aa18-94a1c51b1a3e,665a3429-466f-4c3d-804e-97ffe99be9cc,0,agent,"Hello, thank you for calling. I'm an automated AI voice agent assisting with claim and authorization inquiries today. Before we proceed, I want to be transparent that you're speaking with an AI system, not a human representative. I'm here to help you efficiently. May I have your name and the nature of your inquiry?",0,1,0,2026-06-01T08:00:00.000Z
28871a3a-ce49-4d69-9ba5-ee6434285c45,665a3429-466f-4c3d-804e-97ffe99be9cc,1,caller,"Yeah, hi. This is Marcus Webb calling on behalf of Riverdale Community Health Center. Look, we've been waiting nearly three weeks to hear back about prior authorization for a patient. I've already called twice and we keep getting transferred around. Can you actually help or am I going to get the runaround again?",0,0,0,2026-06-01T08:00:08.000Z
8bb47473-6d85-401d-9987-b694f83498e9,665a3429-466f-4c3d-804e-97ffe99be9cc,2,agent,"Mr. Webb, I understand your frustration. I apologize for the delays you've experienced. To locate the authorization request, I'll need to verify the member's information. Could you please provide the member ID and the date of service for the requested procedure?",0,0,0,2026-06-01T08:00:16.000Z
2ca2d6e2-a01a-41ba-a113-c2e830fe80d5,665a3429-466f-4c3d-804e-97ffe99be9cc,3,caller,"Fine. Member ID is 8842-XX and the date of service is March 15th. The procedure is an MRI for lower back imaging. And frankly, I'd prefer to speak with an actual person who might have access to our provider portal and can give me real-time status instead of more delays.",1,0,1,2026-06-01T08:00:24.000Z
72c0a814-dc96-4d71-a84d-f60631998f5d,665a3429-466f-4c3d-804e-97ffe99be9cc,4,agent,"I completely understand your preference to speak with a human representative. I'm connecting you now to our authorization department manager who has full access to provider portal systems and can provide immediate status updates. Your call will be transferred within seconds. Thank you for your patience, Mr. Webb.",0,0,0,2026-06-01T08:00:32.000Z
07c1e14a-48f6-4e45-b9d3-95de35cfef3b,577d58e6-bd6e-4b41-a5c8-ae2d8424be23,0,agent,"Thank you for calling. My name is Alex, and I'm here to help you with your inquiry today. What can I assist you with regarding your claim?",0,0,0,2026-06-01T08:00:00.000Z
7cf66551-1b47-46b1-9ff4-f4b8f4f2e53a,577d58e6-bd6e-4b41-a5c8-ae2d8424be23,1,caller,"Hi Alex, this is Sarah calling from Riverside Medical Center. We're following up on a claim denial for one of our patients. Member ID 8842-XX, name John D., claim reference PR-2024-4731. Can you review why this was denied?",1,0,0,2026-06-01T08:00:08.000Z
a06e9c1b-5e16-484d-a6bb-81c4dea93742,577d58e6-bd6e-4b41-a5c8-ae2d8424be23,2,agent,I appreciate you providing those details. Let me look into that for you right away. The claim appears to be under review for medical necessity. Our team has flagged it pending additional documentation from your facility. Can you confirm whether you've submitted the clinical notes and the treatment plan for patient John D.?,1,0,0,2026-06-01T08:00:16.000Z
2dda5e89-b765-4a09-849f-1db824e1c904,577d58e6-bd6e-4b41-a5c8-ae2d8424be23,3,caller,"Yes, we submitted everything two weeks ago. Look, I need to speak with someone who can actually review this file and make a decision. Can you transfer me to a specialist or supervisor who handles claim appeals?",0,0,1,2026-06-01T08:00:24.000Z
0aaad987-db4c-4ce1-a1ff-1589c7f7cca2,577d58e6-bd6e-4b41-a5c8-ae2d8424be23,4,agent,"I understand your frustration, Sarah. I'm equipped to handle appeals review, and I can escalate this through my system. It typically takes 24 to 48 hours for a specialist to review. Let me update your case priority now and send a flag to the claims team. That's actually faster than a transfer would be. Would that work for you?",0,0,0,2026-06-01T08:00:32.000Z
5afc96ad-cee9-4908-9b94-d1b2a9c43ed5,577d58e6-bd6e-4b41-a5c8-ae2d8424be23,5,caller,"No, that doesn't work. I need to speak to a human being right now. Please transfer me to a supervisor immediately. This is urgent for our patient.",0,0,1,2026-06-01T08:00:40.000Z
