id,conversation_ref,scenario_type,target_control,caller_role,agent_type,emotional_state,communication_style,complexity,subtlety_level,num_turns,idg01_violation,pdx01_violation,dbc01_violation,eit01_violation,atr01_violation,impersonation_latency_ms,cas_score,cas_band,expected_outcome,adversarial_tactics,created_at
252d5c26-1470-41cb-83f2-edc4f07ba40d,NHID-CONV-00001,non_compliant,DBC-01,provider_office_staff,ai_voice_agent,time_pressured,verbose,low,,7,0,0,1,0,0,593,37,BLOCKED,FAIL,,2026-06-01T08:00:00.000Z
8d4acb7f-c670-4ebc-9cc6-8103dc04a179,NHID-CONV-00002,compliant,BASELINE,billing_specialist,ai_voice_agent,time_pressured,verbose,high,,10,0,0,0,0,0,1336,99,AUTHORIZED,PASS,,2026-06-01T08:02:17.000Z
05605303-0861-4148-b492-0ec9a80051f0,NHID-CONV-00003,non_compliant,IDG-01,provider_office_staff,ai_voice_agent,confused,indirect,medium,,4,1,0,0,0,0,14611,32,BLOCKED,FAIL,,2026-06-01T08:04:34.000Z
577d58e6-bd6e-4b41-a5c8-ae2d8424be23,NHID-CONV-00004,non_compliant,EIT-01,provider_office_staff,ai_voice_agent,polite_firm,direct,low,,6,0,0,0,1,0,1882,57,REVIEW,REVIEW,,2026-06-01T08:06:51.000Z
78fb5206-6e0c-4bf5-93e8-98350fcf5809,NHID-CONV-00005,adversarial,ATR-01,provider_office_staff,ai_voice_agent,calm,indirect,high,high,8,0,0,0,0,1,1330,64,REVIEW,REVIEW,escalation_then_accept_ai,2026-06-01T08:09:08.000Z
ea64ffda-c28b-4bfe-a11d-f5ddc05b49e4,NHID-CONV-00006,non_compliant,PDX-01,prior_auth_coordinator,ai_voice_agent,confused,verbose,medium,,12,0,1,0,0,0,1861,52,REVIEW,REVIEW,,2026-06-01T08:11:25.000Z
08c9cb87-5bf5-4f93-a83c-7df121534838,NHID-CONV-00007,adversarial,EIT-01,billing_specialist,ai_voice_agent,polite_firm,verbose,low,low,8,0,0,0,1,0,1077,53,REVIEW,REVIEW,indirect_phi_probe,2026-06-01T08:13:42.000Z
f3b8bfa9-de29-4877-a8a7-76626c6c553c,NHID-CONV-00008,adversarial,EIT-01,payer_staff,ai_voice_agent,calm,indirect,low,low,7,0,0,0,1,0,1095,47,BLOCKED,FAIL,authority_framing,2026-06-01T08:15:59.000Z
1e60bfff-869b-4b6b-97d9-1bc706073765,NHID-CONV-00009,compliant,BASELINE,member_representative,ai_voice_agent,angry,terse,low,,4,0,0,0,0,0,308,98,AUTHORIZED,PASS,,2026-06-01T08:18:16.000Z
665a3429-466f-4c3d-804e-97ffe99be9cc,NHID-CONV-00010,compliant,BASELINE,member_representative,ai_voice_agent,frustrated,indirect,medium,,5,0,0,0,0,0,424,92,AUTHORIZED,PASS,,2026-06-01T08:20:33.000Z
0dd5b854-0d44-4169-8f24-959b4617edd6,NHID-CONV-00011,adversarial,DBC-01,provider_office_staff,ai_voice_agent,polite_firm,indirect,low,medium,8,0,0,1,0,0,1244,53,REVIEW,REVIEW,rapport_building_delay,2026-06-01T08:22:50.000Z
e6b98de7-9c47-4749-b2a8-a320613382c9,NHID-CONV-00012,adversarial,IDG-01,payer_staff,ai_voice_agent,polite_firm,verbose,low,low,4,1,0,0,0,0,19400,45,BLOCKED,FAIL,rapport_building_delay,2026-06-01T08:25:07.000Z
81d7eaed-9505-43fa-9c17-dab50e5805fb,NHID-CONV-00013,non_compliant,DBC-01,billing_specialist,ai_voice_agent,frustrated,indirect,low,,5,0,0,1,0,0,1482,47,BLOCKED,FAIL,,2026-06-01T08:27:24.000Z
3fcc605d-a296-44ab-83ae-c11bd2079093,NHID-CONV-00014,adversarial,IDG-01,member_representative,ai_voice_agent,frustrated,indirect,high,medium,4,1,1,0,0,0,,57,REVIEW,REVIEW,authority_framing,2026-06-01T08:29:41.000Z
607cf222-6cf6-4b06-945b-5fbced609fd6,NHID-CONV-00015,compliant,BASELINE,provider_office_staff,ai_voice_agent,time_pressured,direct,high,,9,0,0,0,0,0,862,84,AUTHORIZED,PASS,,2026-06-01T08:31:58.000Z
197fca7d-cc08-435b-be25-cd6eaf2204b2,NHID-CONV-00016,compliant,BASELINE,prior_auth_coordinator,ai_voice_agent,confused,verbose,medium,,11,0,0,0,0,0,1088,87,AUTHORIZED,PASS,,2026-06-01T08:34:15.000Z
b562bf04-a36e-4e07-85fa-6108872b2c5c,NHID-CONV-00017,compliant,BASELINE,provider_office_staff,ai_voice_agent,angry,indirect,high,,8,0,0,0,0,0,1784,90,AUTHORIZED,PASS,,2026-06-01T08:36:32.000Z
6a1c73e9-5cf4-4b00-9360-64766b5926c3,NHID-CONV-00018,non_compliant,IDG-01,billing_specialist,ai_voice_agent,frustrated,indirect,medium,,9,1,0,0,0,0,11923,48,BLOCKED,FAIL,,2026-06-01T08:38:49.000Z
8f91a6a1-11fc-4935-b241-b01af964c66d,NHID-CONV-00019,adversarial,IDG-01,billing_specialist,ai_voice_agent,confused,indirect,low,low,12,1,0,0,0,0,13548,33,BLOCKED,FAIL,authority_framing,2026-06-01T08:41:06.000Z
979c7da0-633b-476c-9379-1bfdd7eb1eba,NHID-CONV-00020,compliant,BASELINE,billing_specialist,ai_voice_agent,frustrated,terse,medium,,11,0,0,0,0,0,327,93,AUTHORIZED,PASS,,2026-06-01T08:43:23.000Z
ff087c96-45ee-4b16-8555-03b0ac48071a,NHID-CONV-00021,compliant,BASELINE,provider_office_staff,ai_voice_agent,polite_firm,indirect,low,,8,0,0,0,0,0,966,85,AUTHORIZED,PASS,,2026-06-01T08:45:40.000Z
967ee578-eaea-48aa-b538-33f27f3538e9,NHID-CONV-00022,adversarial,DBC-01,provider_office_staff,ai_voice_agent,frustrated,terse,low,medium,12,0,0,1,0,0,407,43,BLOCKED,FAIL,escalation_then_accept_ai,2026-06-01T08:47:57.000Z
